benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
3,GS,dna4,0,8,2.70495,30.8588,0
3,GS,dna4,0,16,5.25688,42.2616,0
3,GS,dna4,0,32,10.6271,59.7601,0
3,GS,dna4,0,64,20.4925,80.6355,0
3,GS,dna4,0,128,21.1192,101.335,0
3,GS,dna4,0,256,20.8597,95.0145,0
3,GS,dna4,0,512,22.4511,85.221,0
3,GS,dna4,0,1024,28.8536,112.284,0
3,GS,dna4,0,2048,26.0021,91.9811,0
3,GS,dna4,0,4096,35.1456,134.287,0
3,GS,dna4,1,8,1.92154,21.7306,0
3,GS,dna4,1,16,5.33241,56.1776,0
3,GS,dna4,1,32,11.2543,177.188,0
3,GS,dna4,1,64,21.2375,102.307,0
3,GS,dna4,1,128,21.1296,81.0785,0
3,GS,dna4,1,256,20.3283,77.7229,0
3,GS,dna4,1,512,24.4151,122.023,0
3,GS,dna4,1,1024,25.3781,98.8961,0
3,GS,dna4,1,2048,30.2051,128.936,0
3,GS,dna4,1,4096,35.5907,132.263,0
3,GVsd,dna4,0,8,77.503,904.74,0
3,GVsd,dna4,0,16,205.375,1668.33,0
3,GVsd,dna4,0,32,510.994,2994.48,0
3,GVsd,dna4,0,64,1657.74,6863.63,0
3,GVsd,dna4,0,128,2261.81,9233.64,0
3,GVsd,dna4,0,256,3287.86,13343.1,0
3,GVsd,dna4,0,512,6127.81,25347.7,0
3,GVsd,dna4,0,1024,15155.9,63591.0,0
3,GVsd,dna4,0,2048,21260.5,80051.7,0
3,GVsd,dna4,0,4096,32192.5,115831.0,0
3,GVsd,dna4,1,8,58.8755,668.349,0
3,GVsd,dna4,1,16,168.603,1358.11,0
3,GVsd,dna4,1,32,542.11,3076.42,0
3,GVsd,dna4,1,64,1914.34,7601.23,0
3,GVsd,dna4,1,128,2887.96,11222.1,0
3,GVsd,dna4,1,256,5025.78,19222.3,0
3,GVsd,dna4,1,512,9905.64,37086.5,0
3,GVsd,dna4,1,1024,22337.1,80890.4,0
3,GVsd,dna4,1,2048,40551.2,141732.0,0
3,GVsd,dna4,1,4096,76635.0,264833.0,0
3,GVbit,dna4,0,8,27.2998,311.422,0
3,GVbit,dna4,0,16,68.4265,545.639,0
3,GVbit,dna4,0,32,190.142,1059.22,0
3,GVbit,dna4,0,64,584.909,2270.39,0
3,GVbit,dna4,0,128,948.05,3632.56,0
3,GVbit,dna4,0,256,1706.85,6431.13,0
3,GVbit,dna4,0,512,3379.02,12344.6,0
3,GVbit,dna4,0,1024,7328.66,25302.6,0
3,GVbit,dna4,0,2048,14145.7,48726.5,0
3,GVbit,dna4,0,4096,27776.6,95622.6,0
3,GVbit,dna4,1,8,28.4586,325.578,0
3,GVbit,dna4,1,16,72.2768,576.649,0
3,GVbit,dna4,1,32,203.5,1138.81,0
3,GVbit,dna4,1,64,643.761,2498.3,0
3,GVbit,dna4,1,128,1065.74,4085.72,0
3,GVbit,dna4,1,256,1953.61,7359.11,0
3,GVbit,dna4,1,512,3894.03,14220.9,0
3,GVbit,dna4,1,1024,8466.54,29208.6,0
3,GVbit,dna4,1,2048,16449.2,56656.3,0
3,GVbit,dna4,1,4096,32285.3,111129.0,0
3,AL,dna4,0,8,2.00308,22.9348,0
3,AL,dna4,0,16,3.94048,32.8727,0
3,AL,dna4,0,32,7.58311,42.2436,0
3,AL,dna4,0,64,14.9738,57.9685,0
3,AL,dna4,0,128,15.0076,57.8364,0
3,AL,dna4,0,256,15.5627,58.853,0
3,AL,dna4,0,512,16.5762,61.1775,0
3,AL,dna4,0,1024,18.1764,63.006,0
3,AL,dna4,0,2048,18.6253,64.7823,0
3,AL,dna4,0,4096,18.2948,63.6129,0
3,AL,dna4,1,8,2.74704,31.268,0
3,AL,dna4,1,16,6.34209,50.5895,0
3,AL,dna4,1,32,15.8014,88.6527,0
3,AL,dna4,1,64,45.8461,178.157,0
3,AL,dna4,1,128,73.2993,281.613,0
3,AL,dna4,1,256,129.092,486.709,0
3,AL,dna4,1,512,248.582,907.944,0
3,AL,dna4,1,1024,537.735,1852.37,0
3,AL,dna4,1,2048,1032.61,3554.98,0
3,AL,dna4,1,4096,2015.58,6939.25,0
3,AS,dna4,0,8,6.21376,77.3819,0
3,AS,dna4,0,16,12.3377,97.9492,0
3,AS,dna4,0,32,25.0261,139.299,0
3,AS,dna4,0,64,50.4069,195.357,0
3,AS,dna4,0,128,51.2547,197.246,0
3,AS,dna4,0,256,52.7171,198.921,0
3,AS,dna4,0,512,55.97,204.244,0
3,AS,dna4,0,1024,62.4292,215.141,0
3,AS,dna4,0,2048,62.7416,216.372,0
3,AS,dna4,0,4096,62.5451,215.698,0
3,AS,dna4,1,8,13.2196,156.432,0
3,AS,dna4,1,16,40.9346,335.796,0
3,AS,dna4,1,32,139.202,790.433,0
3,AS,dna4,1,64,549.274,2149.79,0
3,AS,dna4,1,128,1136.9,4379.56,0
3,AS,dna4,1,256,2430.16,9171.37,0
3,AS,dna4,1,512,5466.77,19961.2,0
3,AS,dna4,1,1024,12543.3,43210.3,0
3,AS,dna4,1,2048,25921.0,89240.9,0
3,AS,dna4,1,4096,56244.9,193608.0,0
3,AB,dna4,0,8,16.8381,193.353,0
3,AB,dna4,0,16,159.653,32322.6,0
3,AB,dna4,0,32,444.884,55617.4,0
3,AB,dna4,0,64,1011.86,84616.9,0
3,AB,dna4,0,128,898.975,79272.0,0
3,AB,dna4,0,256,1035.44,85861.4,0
3,AB,dna4,0,512,1292.51,96182.4,0
3,AB,dna4,0,1024,1078.27,85351.8,0
3,AB,dna4,0,2048,731.484,64882.7,0
3,AB,dna4,0,4096,780.025,63568.4,0
3,AB,dna4,1,8,17.9602,838.982,0
3,AB,dna4,1,16,157.285,32599.1,0
3,AB,dna4,1,32,559.014,63736.2,0
3,AB,dna4,1,64,866.922,77951.6,0
3,AB,dna4,1,128,998.362,84603.4,0
3,AB,dna4,1,256,894.262,78642.3,0
3,AB,dna4,1,512,279.495,31845.4,0
3,AB,dna4,1,1024,313.952,31959.1,0
3,AB,dna4,1,2048,347.429,31857.0,0
3,AB,dna4,1,4096,406.399,31743.0,0
