benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
1,GS,dna4,0,8,4.4277,16.0146,0
1,GS,dna4,0,16,3.31997,11.4935,0
1,GS,dna4,0,32,3.32754,11.5232,0
1,GS,dna4,0,64,3.32945,11.533,0
1,GS,dna4,0,128,3.32976,11.5332,0
1,GS,dna4,0,256,3.32666,11.5198,0
1,GS,dna4,0,512,3.32162,11.5032,0
1,GS,dna4,0,1024,3.32896,11.5311,0
1,GS,dna4,0,2048,3.32455,11.5321,0
1,GS,dna4,0,4096,3.33824,11.5666,0
1,GS,dna4,1,8,4.47426,15.9568,0
1,GS,dna4,1,16,3.3869,11.7566,0
1,GS,dna4,1,32,3.38739,11.7579,0
1,GS,dna4,1,64,3.38486,11.7462,0
1,GS,dna4,1,128,3.3955,11.7901,0
1,GS,dna4,1,256,3.39584,11.7937,0
1,GS,dna4,1,512,3.40269,11.8195,0
1,GS,dna4,1,1024,3.40561,11.8317,0
1,GS,dna4,1,2048,3.41424,11.8659,0
1,GS,dna4,1,4096,3.40098,11.8137,0
1,GVsd,dna4,0,8,26.4273,93.9131,0
1,GVsd,dna4,0,16,23.8362,82.2624,0
1,GVsd,dna4,0,32,23.7633,81.9988,0
1,GVsd,dna4,0,64,23.712,81.8051,0
1,GVsd,dna4,0,128,23.7014,81.7738,0
1,GVsd,dna4,0,256,23.7826,85.353,0
1,GVsd,dna4,0,512,24.0171,84.2605,0
1,GVsd,dna4,0,1024,23.7753,83.8591,0
1,GVsd,dna4,0,2048,23.6597,81.6389,0
1,GVsd,dna4,0,4096,23.7059,82.617,0
1,GVsd,dna4,1,8,30.7102,112.582,0
1,GVsd,dna4,1,16,29.3851,104.562,0
1,GVsd,dna4,1,32,29.951,106.922,0
1,GVsd,dna4,1,64,31.2805,112.591,0
1,GVsd,dna4,1,128,32.8919,118.24,0
1,GVsd,dna4,1,256,35.3461,129.529,0
1,GVsd,dna4,1,512,36.3999,130.992,0
1,GVsd,dna4,1,1024,47.1478,280.395,0
1,GVsd,dna4,1,2048,239.262,47385.5,0
1,GVsd,dna4,1,4096,45.5758,168.998,0
1,GVbit,dna4,0,8,15.0962,89.0706,0
1,GVbit,dna4,0,16,15.0309,81.3512,0
1,GVbit,dna4,0,32,15.3539,91.3775,0
1,GVbit,dna4,0,64,15.9225,106.059,0
1,GVbit,dna4,0,128,17.9205,137.191,0
1,GVbit,dna4,0,256,21.2557,202.433,0
1,GVbit,dna4,0,512,26.4257,335.85,0
1,GVbit,dna4,0,1024,35.3579,617.133,0
1,GVbit,dna4,0,2048,51.8309,1136.79,0
1,GVbit,dna4,0,4096,86.5055,2248.38,0
1,GVbit,dna4,1,8,10.9125,38.954,0
1,GVbit,dna4,1,16,11.209,39.8133,0
1,GVbit,dna4,1,32,10.9952,39.2208,0
1,GVbit,dna4,1,64,11.1419,39.6954,0
