benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
3,GS,dna4,0,65536,1408.15,1574.71,0
3,GS,dna4,0,131072,3124.57,3224.21,0
3,GS,dna4,0,262144,6891.86,7104.03,0
3,GS,dna4,1,65536,1381.54,1369.76,0
3,GS,dna4,1,131072,3026.43,3023.59,0
3,GS,dna4,1,262144,6636.77,6579.71,0
3,GVsd,dna4,0,65536,3314600.0,3327100.0,0
3,GVsd,dna4,0,131072,6103940.0,6109300.0,0
3,GVsd,dna4,0,262144,11676300.0,11650900.0,0
3,GVsd,dna4,1,65536,-1,-1,-1
3,GVsd,dna4,1,131072,-1,-1,-1
3,GVsd,dna4,1,262144,-1,-1,-1
3,GVbit,dna4,0,65536,2752480.0,2728070.0,0
3,GVbit,dna4,0,131072,4585980.0,4544280.0,0
3,GVbit,dna4,0,262144,9149290.0,9065820.0,0
3,GVbit,dna4,1,65536,3196710.0,3167720.0,0
3,GVbit,dna4,1,131072,4331470.0,4291910.0,0
3,GVbit,dna4,1,262144,8547450.0,8469470.0,0
3,AL,dna4,0,65536,111.379,115.126,0
3,AL,dna4,0,131072,113.428,113.992,0
3,AL,dna4,0,262144,113.926,118.934,0
3,AL,dna4,1,65536,198481.0,196828.0,0
3,AL,dna4,1,131072,395748.0,392246.0,0
3,AL,dna4,1,262144,790807.0,783672.0,0
3,AS,dna4,0,65536,392.21,398.648,0
3,AS,dna4,0,131072,392.391,389.076,0
3,AS,dna4,0,262144,400.977,544.385,0
3,AS,dna4,1,65536,7054250.0,6989850.0,0
3,AS,dna4,1,131072,14974600.0,14837900.0,0
3,AS,dna4,1,262144,31768000.0,31477700.0,0
3,AB,dna4,0,65536,13496.8,13386.1,0
3,AB,dna4,0,131072,25999.7,25771.8,0
3,AB,dna4,0,262144,48919.5,48492.1,0
3,AB,dna4,1,65536,14046.4,13924.1,0
3,AB,dna4,1,131072,24958.6,24733.3,0
3,AB,dna4,1,262144,48899.8,48467.2,0
