benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
2,GS,dna4,0,8,27.6082,79.3558,0
2,GS,dna4,0,16,27.3229,78.0711,0
2,GS,dna4,0,32,37.1814,107.06,0
2,GS,dna4,0,64,37.8356,109.103,0
2,GS,dna4,0,128,35.5764,155.713,0
2,GS,dna4,0,256,39.5106,172.71,0
2,GS,dna4,0,512,39.3592,115.125,0
2,GS,dna4,0,1024,40.0686,117.026,0
2,GS,dna4,0,2048,45.2097,131.914,0
2,GS,dna4,0,4096,47.0758,140.455,0
2,GS,dna4,1,8,36.5028,105.347,0
2,GS,dna4,1,16,27.4641,78.5378,0
2,GS,dna4,1,32,27.4463,78.4815,0
2,GS,dna4,1,64,39.6084,115.075,0
2,GS,dna4,1,128,37.7439,108.733,0
2,GS,dna4,1,256,39.3322,113.282,0
2,GS,dna4,1,512,39.9812,114.344,0
2,GS,dna4,1,1024,45.967,371.622,0
2,GS,dna4,1,2048,42.5257,122.076,0
2,GS,dna4,1,4096,47.3948,136.839,0
2,GVsd,dna4,0,8,22119.3,76877.7,0
2,GVsd,dna4,0,16,21081.5,72414.3,0
2,GVsd,dna4,0,32,21008.0,71056.9,0
2,GVsd,dna4,0,64,24531.7,84737.2,0
2,GVsd,dna4,0,128,19062.9,64116.7,0
2,GVsd,dna4,0,256,21091.9,69989.5,0
2,GVsd,dna4,0,512,24371.9,78743.1,0
2,GVsd,dna4,0,1024,30132.0,93853.5,0
2,GVsd,dna4,0,2048,42068.3,127065.0,0
2,GVsd,dna4,0,4096,64490.4,189742.0,0
2,GVsd,dna4,1,8,16982.7,58426.0,0
2,GVsd,dna4,1,16,17407.8,59268.8,0
2,GVsd,dna4,1,32,17425.9,59387.7,0
2,GVsd,dna4,1,64,19305.2,65284.9,0
2,GVsd,dna4,1,128,20571.1,67526.1,0
2,GVsd,dna4,1,256,23852.8,76357.6,0
2,GVsd,dna4,1,512,29997.5,92204.4,0
2,GVsd,dna4,1,1024,41956.1,123952.0,0
2,GVsd,dna4,1,2048,68915.3,199151.0,0
2,GVsd,dna4,1,4096,121874.0,348889.0,0
2,GVbit,dna4,0,8,4636.67,15755.6,0
2,GVbit,dna4,0,16,4689.07,15857.3,0
2,GVbit,dna4,0,32,4818.32,16192.5,0
2,GVbit,dna4,0,64,5094.61,16900.7,0
2,GVbit,dna4,0,128,5655.29,18384.2,0
2,GVbit,dna4,0,256,6669.82,21126.8,0
2,GVbit,dna4,0,512,8630.5,26681.0,0
2,GVbit,dna4,0,1024,12133.2,36777.9,0
2,GVbit,dna4,0,2048,18477.5,55137.0,0
2,GVbit,dna4,0,4096,30809.4,91297.6,0
2,GVbit,dna4,1,8,4733.71,16124.1,0
2,GVbit,dna4,1,16,4808.05,16307.9,0
2,GVbit,dna4,1,32,4810.59,16165.8,0
2,GVbit,dna4,1,64,5124.59,17066.8,0
2,GVbit,dna4,1,128,5572.79,18124.0,0
2,GVbit,dna4,1,256,6592.3,20790.0,0
2,GVbit,dna4,1,512,8512.92,26032.9,0
2,GVbit,dna4,1,1024,12400.7,37022.9,0
2,GVbit,dna4,1,2048,19886.2,58681.4,0
2,GVbit,dna4,1,4096,34669.2,101970.0,0
2,AL,dna4,0,8,702.12,2406.16,0
2,AL,dna4,0,16,677.135,2307.54,0
2,AL,dna4,0,32,682.28,2344.97,0
2,AL,dna4,0,64,672.475,2305.69,0
2,AL,dna4,0,128,715.805,2425.8,0
2,AL,dna4,0,256,737.812,2481.07,0
2,AL,dna4,0,512,802.576,2693.17,0
2,AL,dna4,0,1024,857.329,2903.12,0
2,AL,dna4,0,2048,969.283,3357.14,0
2,AL,dna4,0,4096,1016.8,3604.21,0
