benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
1,GS,dna4,0,8,4.7199,24.2007,0
1,GS,dna4,0,16,2.70179,10.5486,0
1,GS,dna4,0,32,2.6935,10.5165,0
1,GS,dna4,0,64,2.69436,10.5196,0
1,GS,dna4,0,128,2.69658,10.531,0
1,GS,dna4,0,256,2.69723,10.5342,0
1,GS,dna4,0,512,2.68533,10.4788,0
1,GS,dna4,0,1024,2.67611,10.4436,0
1,GS,dna4,0,2048,2.67704,10.4458,0
1,GS,dna4,0,4096,2.68065,10.4629,0
1,GS,dna4,0,8192,2.67352,10.4363,0
1,GS,dna4,0,16384,3.10835,78.0638,0
1,GS,dna4,0,32768,2.68721,10.5053,0
1,GS,dna4,1,8,2.83172,11.0985,0
1,GS,dna4,1,16,2.88243,11.3522,0
1,GS,dna4,1,32,2.8316,11.0987,0
1,GS,dna4,1,64,2.8213,11.0532,0
1,GS,dna4,1,128,2.83548,11.112,0
1,GS,dna4,1,256,2.72155,10.6866,0
1,GS,dna4,1,512,2.70925,10.6288,0
1,GS,dna4,1,1024,2.71144,10.6489,0
1,GS,dna4,1,2048,2.70595,10.6139,0
1,GS,dna4,1,4096,2.72232,10.6904,0
1,GS,dna4,1,8192,2.74455,10.8052,0
1,GS,dna4,1,16384,2.75044,10.9282,0
1,GS,dna4,1,32768,2.78598,11.1285,0
1,GVsd,dna4,0,8,19.1596,74.8859,0
1,GVsd,dna4,0,16,19.1564,74.7617,0
1,GVsd,dna4,0,32,19.0465,76.1134,0
1,GVsd,dna4,0,64,19.1112,74.4635,0
1,GVsd,dna4,0,128,19.9095,187.024,0
1,GVsd,dna4,0,256,18.9162,73.6898,0
1,GVsd,dna4,0,512,18.9181,73.7031,0
1,GVsd,dna4,0,1024,18.8931,73.6052,0
1,GVsd,dna4,0,2048,18.9108,73.7294,0
1,GVsd,dna4,0,4096,18.9208,73.7366,0
1,GVsd,dna4,0,8192,18.924,73.8008,0
1,GVsd,dna4,0,16384,18.9629,74.0132,0
1,GVsd,dna4,0,32768,19.7915,79.6766,0
1,GVsd,dna4,1,8,22.8874,91.6365,0
1,GVsd,dna4,1,16,24.9088,101.509,0
1,GVsd,dna4,1,32,24.2592,98.6466,0
1,GVsd,dna4,1,64,24.1135,97.571,0
1,GVsd,dna4,1,128,26.8733,109.175,0
1,GVsd,dna4,1,256,29.1981,117.74,0
1,GVsd,dna4,1,512,30.344,251.46,0
1,GVsd,dna4,1,1024,29.1071,118.747,0
1,GVsd,dna4,1,2048,29.388,120.104,0
1,GVsd,dna4,1,4096,29.9811,125.686,0
1,GVsd,dna4,1,8192,31.1423,128.319,0
1,GVsd,dna4,1,16384,31.0571,127.431,0
1,GVsd,dna4,1,32768,31.1696,127.418,0
1,GVbit,dna4,0,8,17.1512,151.972,0
1,GVbit,dna4,0,16,11.9394,77.6807,0
1,GVbit,dna4,0,32,13.7999,284.238,0
1,GVbit,dna4,0,64,12.6495,97.5233,0
1,GVbit,dna4,0,128,14.5172,132.883,0
1,GVbit,dna4,0,256,17.4711,195.717,0
1,GVbit,dna4,0,512,22.5116,336.893,0
1,GVbit,dna4,0,1024,30.0922,571.571,0
1,GVbit,dna4,0,2048,46.7049,1091.44,0
1,GVbit,dna4,0,4096,79.4332,2130.58,0
1,GVbit,dna4,0,8192,144.585,4197.62,0
1,GVbit,dna4,0,16384,273.499,8313.48,0
1,GVbit,dna4,0,32768,535.469,16645.1,0
1,GVbit,dna4,1,8,12.2057,49.1099,0
1,GVbit,dna4,1,16,8.15343,32.9201,0
1,GVbit,dna4,1,32,8.66064,34.6389,0
1,GVbit,dna4,1,64,8.32011,33.5795,0
1,GVbit,dna4,1,128,8.92716,36.1827,0
1,GVbit,dna4,1,256,9.08197,37.4508,0
1,GVbit,dna4,1,512,9.63982,40.2217,0
1,GVbit,dna4,1,1024,9.77213,40.5829,0
1,GVbit,dna4,1,2048,9.86849,41.1383,0
1,GVbit,dna4,1,4096,10.0369,42.0225,0
1,GVbit,dna4,1,8192,10.5694,47.6261,0
1,GVbit,dna4,1,16384,11.3111,51.3435,0
1,GVbit,dna4,1,32768,11.8241,52.2499,0
1,AL,dna4,0,8,9.57571,38.2923,0
1,AL,dna4,0,16,6.48539,25.261,0
1,AL,dna4,0,32,6.47651,25.2276,0
1,AL,dna4,0,64,7.84928,232.065,0
1,AL,dna4,0,128,6.48255,25.253,0
1,AL,dna4,0,256,6.52746,25.4366,0
1,AL,dna4,0,512,6.48446,25.2758,0
1,AL,dna4,0,1024,6.49836,25.3365,0
1,AL,dna4,0,2048,7.88611,240.042,0
1,AL,dna4,0,4096,6.54753,25.6138,0
1,AL,dna4,0,8192,6.7302,30.4592,0
1,AL,dna4,0,16384,6.60733,26.092,0
1,AL,dna4,0,32768,6.68091,26.6737,0
1,AL,dna4,1,8,17.0833,74.1554,0
1,AL,dna4,1,16,22.8778,90.6622,0
1,AL,dna4,1,32,29.9152,120.347,0
1,AL,dna4,1,64,49.1719,198.861,0
1,AL,dna4,1,128,79.1163,326.036,0
1,AL,dna4,1,256,159.619,658.208,0
1,AL,dna4,1,512,293.798,1215.35,0
1,AL,dna4,1,1024,569.223,2357.15,0
1,AL,dna4,1,2048,1129.18,4698.52,0
1,AL,dna4,1,4096,2233.39,9286.79,0
1,AL,dna4,1,8192,4436.36,18466.1,0
1,AL,dna4,1,16384,8963.58,37326.1,0
1,AL,dna4,1,32768,17804.0,74134.9,0
1,AS,dna4,0,8,7.99277,32.2512,0
1,AS,dna4,0,16,6.24615,24.3182,0
1,AS,dna4,0,32,6.25108,24.3391,0
1,AS,dna4,0,64,6.27534,24.4351,0
1,AS,dna4,0,128,6.24935,24.3233,0
1,AS,dna4,0,256,6.25986,24.3683,0
1,AS,dna4,0,512,6.26384,24.3913,0
1,AS,dna4,0,1024,6.47531,44.4298,0
1,AS,dna4,0,2048,6.23761,24.2726,0
1,AS,dna4,0,4096,6.29001,24.5116,0
1,AS,dna4,0,8192,6.26356,24.4107,0
1,AS,dna4,0,16384,6.27244,24.4281,0
1,AS,dna4,0,32768,6.38428,25.0083,0
1,AS,dna4,1,8,20.7242,82.8052,0
1,AS,dna4,1,16,21.27,83.0711,0
1,AS,dna4,1,32,22.7352,89.0379,0
1,AS,dna4,1,64,25.9293,100.969,0
1,AS,dna4,1,128,27.3082,110.155,0
1,AS,dna4,1,256,28.7534,114.955,0
1,AS,dna4,1,512,29.679,115.479,0
1,AS,dna4,1,1024,31.4238,123.337,0
1,AS,dna4,1,2048,33.1995,129.161,0
1,AS,dna4,1,4096,35.1561,136.784,0
1,AS,dna4,1,8192,37.2173,144.905,0
1,AS,dna4,1,16384,40.5472,158.036,0
1,AS,dna4,1,32768,43.2466,168.534,0
1,AB,dna4,0,8,25.3997,103.351,0
1,AB,dna4,0,16,21.486,83.5258,0
1,AB,dna4,0,32,22.4978,87.4478,0
1,AB,dna4,0,64,25.36,100.11,0
1,AB,dna4,0,128,31.0482,121.759,0
1,AB,dna4,0,256,41.1937,163.469,0
1,AB,dna4,0,512,60.9276,243.807,0
1,AB,dna4,0,1024,101.517,411.893,0
1,AB,dna4,0,2048,182.353,745.608,0
1,AB,dna4,0,4096,340.378,1400.96,0
1,AB,dna4,0,8192,658.021,2716.64,0
1,AB,dna4,0,16384,1293.91,5360.53,0
1,AB,dna4,0,32768,2560.76,10605.4,0
1,AB,dna4,1,8,33.117,147.934,0
