benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
3,GS,dna4,0,8,2.00324,22.7503,0
3,GS,dna4,0,16,2.51588,24.5755,0
3,GS,dna4,0,32,2.78705,25.3589,0
3,GS,dna4,0,64,3.76845,34.9017,0
3,GS,dna4,0,128,5.04271,34.216,0
3,GS,dna4,0,256,8.00032,42.8017,0
3,GS,dna4,0,512,14.2939,57.2217,0
3,GS,dna4,0,1024,27.5235,78.4921,0
3,GS,dna4,0,2048,30.6069,87.2448,0
3,GS,dna4,0,4096,38.2724,250.158,0
3,GS,dna4,1,8,1.94612,22.198,0
3,GS,dna4,1,16,2.35519,22.9242,0
3,GS,dna4,1,32,2.72017,24.6643,0
3,GS,dna4,1,64,3.45121,27.8065,0
3,GS,dna4,1,128,5.27206,39.7621,0
3,GS,dna4,1,256,7.86695,41.8831,0
3,GS,dna4,1,512,13.9378,55.5001,0
3,GS,dna4,1,1024,27.6468,81.5797,0
3,GS,dna4,1,2048,30.2233,87.1808,0
3,GS,dna4,1,4096,35.6526,101.514,0
3,GVsd,dna4,0,8,52.7605,600.556,0
3,GVsd,dna4,0,16,81.6728,810.501,0
3,GVsd,dna4,0,32,117.893,1113.17,0
3,GVsd,dna4,0,64,238.11,2109.89,0
3,GVsd,dna4,0,128,649.176,4993.3,0
3,GVsd,dna4,0,256,2170.54,13110.4,0
3,GVsd,dna4,0,512,7972.16,35424.1,0
3,GVsd,dna4,0,1024,30674.4,96296.6,0
3,GVsd,dna4,0,2048,41346.0,125072.0,0
3,GVsd,dna4,0,4096,62674.3,184390.0,0
3,GVsd,dna4,1,8,56.2827,639.182,0
3,GVsd,dna4,1,16,97.0441,957.557,0
3,GVsd,dna4,1,32,167.728,1598.06,0
3,GVsd,dna4,1,64,357.69,2992.11,0
3,GVsd,dna4,1,128,978.87,6947.17,0
3,GVsd,dna4,1,256,3205.34,17977.0,0
3,GVsd,dna4,1,512,11610.0,48465.3,0
3,GVsd,dna4,1,1024,44415.7,132071.0,0
3,GVsd,dna4,1,2048,68291.9,197950.0,0
3,GVsd,dna4,1,4096,118547.0,339622.0,0
3,GVbit,dna4,0,8,51.0129,584.765,0
3,GVbit,dna4,0,16,63.2721,622.572,0
3,GVbit,dna4,0,32,70.8105,653.155,0
3,GVbit,dna4,0,64,129.608,1049.75,0
3,GVbit,dna4,0,128,316.873,2149.31,0
3,GVbit,dna4,0,256,919.061,4914.17,0
3,GVbit,dna4,0,512,3047.72,12187.4,0
3,GVbit,dna4,0,1024,10997.9,31455.0,0
3,GVbit,dna4,0,2048,20340.1,57987.8,0
3,GVbit,dna4,0,4096,38556.2,109834.0,0
3,GVbit,dna4,1,8,29.1336,332.399,0
3,GVbit,dna4,1,16,45.2118,444.422,0
3,GVbit,dna4,1,32,73.3916,672.212,0
3,GVbit,dna4,1,64,140.915,1140.04,0
3,GVbit,dna4,1,128,341.647,2324.61,0
3,GVbit,dna4,1,256,1036.76,5560.31,0
3,GVbit,dna4,1,512,3448.51,13809.0,0
3,GVbit,dna4,1,1024,12639.3,36156.7,0
3,GVbit,dna4,1,2048,23239.2,66244.3,0
3,GVbit,dna4,1,4096,44578.6,126982.0,0
3,AL,dna4,0,8,4.10146,47.7914,0
3,AL,dna4,0,16,3.47844,34.2676,0
3,AL,dna4,0,32,3.96188,36.2525,0
3,AL,dna4,0,64,3.58477,29.0805,0
3,AL,dna4,0,128,4.91832,33.4313,0
3,AL,dna4,0,256,10.3584,246.482,0
3,AL,dna4,0,512,13.715,54.9676,0
3,AL,dna4,0,1024,25.2155,72.2381,0
3,AL,dna4,0,2048,25.027,71.7171,0
3,AL,dna4,0,4096,24.9521,71.3856,0
3,AL,dna4,1,8,5.67008,64.3896,0
3,AL,dna4,1,16,5.63181,55.6355,0
3,AL,dna4,1,32,8.56712,78.1215,0
3,AL,dna4,1,64,10.2278,82.9404,0
3,AL,dna4,1,128,25.9803,175.675,0
3,AL,dna4,1,256,63.3759,337.636,0
3,AL,dna4,1,512,220.402,878.188,0
3,AL,dna4,1,1024,675.201,1923.59,0
3,AL,dna4,1,2048,1449.82,4128.78,0
3,AL,dna4,1,4096,2600.18,7406.02,0
3,AS,dna4,0,8,12.7738,151.536,0
3,AS,dna4,0,16,16.0941,162.578,0
3,AS,dna4,0,32,9.32341,86.2852,0
3,AS,dna4,0,64,11.5859,93.7277,0
3,AS,dna4,0,128,17.2953,120.722,0
3,AS,dna4,0,256,26.2808,140.105,0
3,AS,dna4,0,512,46.2393,184.288,0
3,AS,dna4,0,1024,86.0096,246.589,0
3,AS,dna4,0,2048,85.764,244.308,0
3,AS,dna4,0,4096,85.8808,244.673,0
3,AS,dna4,1,8,24.8237,286.522,0
3,AS,dna4,1,16,36.5842,367.821,0
3,AS,dna4,1,32,58.8411,544.996,0
3,AS,dna4,1,64,131.581,1071.81,0
3,AS,dna4,1,128,385.529,2605.57,0
3,AS,dna4,1,256,1287.38,6856.91,0
3,AS,dna4,1,512,4607.01,18344.3,0
3,AS,dna4,1,1024,17822.9,50757.4,0
3,AS,dna4,1,2048,35692.9,101625.0,0
3,AS,dna4,1,4096,74567.3,212319.0,0
3,AB,dna4,0,8,31.1536,391.853,0
3,AB,dna4,0,16,23.4598,248.205,0
3,AB,dna4,0,32,24.318,222.821,0
3,AB,dna4,0,64,893.733,85839.3,0
3,AB,dna4,0,128,892.191,82735.4,0
3,AB,dna4,0,256,927.751,82172.4,0
3,AB,dna4,0,512,1811.3,114368.0,0
3,AB,dna4,0,1024,2057.51,114642.0,0
3,AB,dna4,0,2048,1276.22,82013.8,0
3,AB,dna4,0,4096,1503.59,82146.1,0
3,AB,dna4,1,8,27.6101,311.007,0
3,AB,dna4,1,16,31.7501,312.827,0
3,AB,dna4,1,32,24.0976,219.22,0
3,AB,dna4,1,64,48.3023,402.992,0
3,AB,dna4,1,128,884.566,82584.3,0
3,AB,dna4,1,256,905.725,80725.4,0
3,AB,dna4,1,512,192.384,769.625,0
3,AB,dna4,1,1024,1171.84,81534.2,0
3,AB,dna4,1,2048,1103.58,81415.7,0
3,AB,dna4,1,4096,1143.02,77585.1,0
