benchmark_id,gap_decorator,alphabet_type,GAPFLAG,seq_len,runtime avg [ns],runtime stddev [ns],maximum_resident_set_size
1,AL,dna4,0,65536,6.94722,27.5954,0
1,AL,dna4,0,131072,6.27438,24.6811,0
1,AL,dna4,0,262144,6.42071,25.281,0
1,AL,dna4,0,524288,6.49399,25.6679,0
1,AL,dna4,0,1048576,6.59288,26.1019,0
1,AL,dna4,1,8,22.8432,96.1418,0
1,AL,dna4,1,16,24.4498,97.7682,0
1,AL,dna4,1,32,31.5363,127.745,0
1,AL,dna4,1,64,40.6576,171.111,0
1,AL,dna4,1,128,67.9265,290.133,0
1,AL,dna4,1,256,137.13,583.565,0
1,AL,dna4,1,512,217.46,952.049,0
1,AL,dna4,1,1024,439.942,1917.19,0
1,AL,dna4,1,2048,718.302,3158.96,0
1,AL,dna4,1,4096,1323.63,5797.82,0
1,AL,dna4,1,8192,2673.59,11681.1,0
1,AL,dna4,1,16384,5399.6,23584.3,0
1,AL,dna4,1,32768,10742.2,46975.0,0
1,AL,dna4,1,65536,21545.8,94128.2,0
1,AL,dna4,1,131072,42813.6,187217.0,0
1,AL,dna4,1,262144,85725.7,374648.0,0
1,AL,dna4,1,524288,170925.0,747171.0,0
1,AL,dna4,1,1048576,341102.0,1491130.0,0
1,AS,dna4,0,8,7.09364,29.4979,0
1,AS,dna4,0,16,5.56567,21.6528,0
1,AS,dna4,0,32,5.57855,21.6912,0
1,AS,dna4,0,64,5.58943,21.7382,0
1,AS,dna4,0,128,5.58499,21.7233,0
1,AS,dna4,0,256,5.58644,21.7254,0
1,AS,dna4,0,512,5.58388,21.7148,0
1,AS,dna4,0,1024,5.59051,21.7391,0
1,AS,dna4,0,2048,5.56089,21.6277,0
1,AS,dna4,0,4096,5.60941,21.8235,0
1,AS,dna4,0,8192,5.82183,46.1277,0
1,AS,dna4,0,16384,5.64554,22.0986,0
1,AS,dna4,0,32768,5.6976,22.3873,0
1,AS,dna4,0,65536,5.04736,20.3878,0
1,AS,dna4,0,131072,4.48898,17.8227,0
1,AS,dna4,0,262144,4.53716,18.1107,0
1,AS,dna4,0,524288,4.60612,18.3408,0
1,AS,dna4,0,1048576,4.78497,24.5832,0
1,AS,dna4,1,8,16.0547,139.797,0
1,AS,dna4,1,16,15.5916,61.3659,0
1,AS,dna4,1,32,18.2324,71.316,0
1,AS,dna4,1,64,19.6208,76.9735,0
1,AS,dna4,1,128,21.556,84.1349,0
1,AS,dna4,1,256,23.5529,91.9195,0
1,AS,dna4,1,512,25.1461,98.078,0
1,AS,dna4,1,1024,27.2917,106.334,0
1,AS,dna4,1,2048,29.1788,113.655,0
1,AS,dna4,1,4096,31.0214,120.827,0
1,AS,dna4,1,8192,32.9258,128.245,0
1,AS,dna4,1,16384,35.4121,138.039,0
1,AS,dna4,1,32768,39.5558,156.136,0
1,AS,dna4,1,65536,42.4582,167.265,0
1,AS,dna4,1,131072,46.1512,185.863,0
1,AS,dna4,1,262144,49.4934,193.135,0
1,AS,dna4,1,524288,52.4423,204.588,0
1,AS,dna4,1,1048576,63.8919,255.035,0
1,AB,dna4,0,8,29.3205,118.675,0
1,AB,dna4,0,16,26.6201,103.464,0
1,AB,dna4,0,32,27.7553,107.888,0
1,AB,dna4,0,64,30.7403,119.784,0
1,AB,dna4,0,128,37.1294,145.328,0
1,AB,dna4,0,256,49.6209,203.27,0
1,AB,dna4,0,512,72.291,291.41,0
1,AB,dna4,0,1024,118.25,479.995,0
1,AB,dna4,0,2048,209.447,856.489,0
1,AB,dna4,0,4096,391.104,1608.65,0
1,AB,dna4,0,8192,630.59,2626.39,0
1,AB,dna4,0,16384,1131.17,4677.57,0
1,AB,dna4,0,32768,2237.93,9262.08,0
1,AB,dna4,0,65536,4451.35,18427.8,0
1,AB,dna4,0,131072,8877.59,36770.2,0
1,AB,dna4,0,262144,17735.0,73467.0,0
1,AB,dna4,0,524288,36028.0,149276.0,0
1,AB,dna4,0,1048576,70931.7,293890.0,0
1,AB,dna4,1,8,27.4896,107.079,0
1,AB,dna4,1,16,30.2493,169.383,0
1,AB,dna4,1,32,31.5164,123.64,0
1,AB,dna4,1,64,42.5786,168.398,0
1,AB,dna4,1,128,43.8498,174.077,0
1,AB,dna4,1,256,52.0344,215.551,0
1,AB,dna4,1,512,63.8768,253.713,0
1,AB,dna4,1,1024,89.1617,357.374,0
1,AB,dna4,1,2048,131.084,528.891,0
1,AB,dna4,1,4096,228.466,936.809,0
1,AB,dna4,1,8192,418.523,1727.68,0
1,AB,dna4,1,16384,800.835,3325.7,0
1,AB,dna4,1,32768,1546.28,6443.36,0
1,AB,dna4,1,65536,3053.04,12738.6,0
1,AB,dna4,1,131072,6138.56,25670.9,0
1,AB,dna4,1,262144,12012.7,50244.7,0
1,AB,dna4,1,524288,24043.4,100582.0,0
1,AB,dna4,1,1048576,47869.8,200247.0,0
1,AB2,dna4,0,8,16.195,65.9621,0
1,AB2,dna4,0,16,13.5375,52.6723,0
1,AB2,dna4,0,32,17.3746,67.5699,0
1,AB2,dna4,0,64,17.0539,66.4636,0
1,AB2,dna4,0,128,19.6773,77.1054,0
1,AB2,dna4,0,256,22.5287,88.5872,0
1,AB2,dna4,0,512,26.3947,103.959,0
1,AB2,dna4,0,1024,30.247,119.097,0
1,AB2,dna4,0,2048,34.9916,145.846,0
1,AB2,dna4,0,4096,39.1831,153.487,0
1,AB2,dna4,0,8192,43.2515,169.468,0
1,AB2,dna4,0,16384,47.479,185.987,0
1,AB2,dna4,0,32768,51.482,201.725,0
1,AB2,dna4,0,65536,44.5298,174.79,0
1,AB2,dna4,0,131072,46.2627,182.819,0
1,AB2,dna4,0,262144,50.7715,198.269,0
1,AB2,dna4,0,524288,55.0553,215.028,0
1,AB2,dna4,0,1048576,59.1266,234.112,0
1,AB2,dna4,1,8,21.3527,89.4055,0
1,AB2,dna4,1,16,19.511,76.3393,0
1,AB2,dna4,1,32,21.2845,83.8351,0
1,AB2,dna4,1,64,27.0955,108.09,0
1,AB2,dna4,1,128,29.8863,118.769,0
1,AB2,dna4,1,256,36.1664,146.784,0
1,AB2,dna4,1,512,40.8961,171.176,0
1,AB2,dna4,1,1024,51.5902,238.742,0
1,AB2,dna4,1,2048,68.1285,361.617,0
1,AB2,dna4,1,4096,97.5606,616.147,0
1,AB2,dna4,1,8192,126.486,927.215,0
1,AB2,dna4,1,16384,194.927,1636.37,0
1,AB2,dna4,1,32768,350.903,3208.27,0
1,AB2,dna4,1,65536,647.632,6216.83,0
1,AB2,dna4,1,131072,1291.24,12810.1,0
1,AB2,dna4,1,262144,2527.64,25487.0,0
1,AB2,dna4,1,524288,4932.07,50130.5,0
1,AB2,dna4,1,1048576,9835.01,100440.0,0
